id,country_code,iso_code,province_ame
1,AR,AR-B,Buenos Aires Province
2,AR,AR-K,Catamarca
3,AR,AR-H,Chaco
4,AR,AR-U,Chubut
5,AR,AR-C,Ciudad Autónoma de Buenos Aires
6,AR,AR-X,Córdoba
7,AR,AR-W,Corrientes
8,AR,AR-E,Entre Ríos
9,AR,AR-P,Formosa
10,AR,AR-Y,Jujuy
11,AR,AR-L,La Pampa
12,AR,AR-F,La Rioja
13,AR,AR-M,Mendoza
14,AR,AR-N,Misiones
15,AR,AR-Q,Neuquén
16,AR,AR-R,Río Negro
17,AR,AR-A,Salta
18,AR,AR-J,San Juan
19,AR,AR-D,San Luis
20,AR,AR-Z,Santa Cruz
21,AR,AR-S,Santa Fe
22,AR,AR-G,Santiago del Estero
23,AR,AR-V,Tierra del Fuego
24,AR,AR-T,Tucumán
